Month,Week,Day,Session,Cat. Day,Type,Duration (min),Intensity %,Blocks,Block 1,Block 2,Block 3,Block 4
2,4,2,intensity,489,towers,39,75,3,5x60s @0.75-0.9 [continuous] [pace:increasing],1x540s @0.75-0.9,6x90s/30s @0.8-1.05 [pace:increasing] w:r=3,
2,4,3,steady,190,flux,28,70,1,1x1980s [alternating_paces] [flux:60s@0.75],,,
2,4,4,intensity,549,afterburner,39,80,3,3x30s/90s @max_effort w:r=0.33,1x480s @0.78-0.88,4x120s/60s @0.83-0.98 [pace:increasing] w:r=2,
2,4,5,steady,90,polarized,42,70,1,1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
3,1,1,time_trial,41,time_trial,10,0,1,1x600s @max_effort,,,
3,1,2,steady,91,polarized,42,70,1,1x1620s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
3,1,3,intensity,672,synthesis,46,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.79-0.94,4x10s/50s @max_effort w:r=0.2,1x360s @0.79-0.94
3,1,4,steady,664,flux_stages,30,70,1,1x1440s [progressive_flux_intensity] [flux:60s@0.75],,,
3,1,5,intensity,486,towers,38,75,3,4x120s @0.75-0.9 [continuous] [pace:increasing],1x360s @0.75-0.9,8x30s/30s @0.8-1.05 [pace:increasing] w:r=1,
3,2,1,steady,94,polarized,42,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
3,2,2,intensity,675,synthesis,47,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.8-0.95,4x10s/50s @max_effort w:r=0.2,1x480s @0.8-0.95
3,2,3,steady,191,flux,30,70,1,1x1800s [alternating_paces] [flux:60s@0.75],,,
3,2,4,intensity,551,afterburner,40,80,3,4x15s/45s @max_effort w:r=0.33,1x360s @0.79-0.89,6x60s/60s @0.84-0.99 [pace:increasing] w:r=1,
3,2,5,steady,97,polarized,42,70,1,1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
3,3,1,intensity,676,synthesis,48,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.81-0.96,4x10s/50s @max_effort w:r=0.2,1x360s @0.81-0.96
3,3,2,steady,100,polarized,42,70,1,1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
3,3,3,intensity,679,synthesis,48,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.82-0.97,4x10s/50s @max_effort w:r=0.2,1x480s @0.82-0.97
3,3,4,steady,311,flux_stages,32,70,1,1x1800s [progressive_flux_intensity] [flux:75s@0.75],,,
3,3,5,intensity,489,towers,39,75,3,5x60s @0.75-0.9 [continuous] [pace:increasing],1x540s @0.75-0.9,6x90s/30s @0.8-1.05 [pace:increasing] w:r=3,
3,4,1,steady,136,polarized,42,70,1,1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
3,4,2,intensity,662,synthesis,42,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.75-0.9,4x10s/50s @max_effort w:r=0.2,1x360s @0.75-0.9
3,4,3,steady,194,flux,30,70,1,1x1980s [alternating_paces] [flux:60s@0.75],,,
3,4,4,intensity,554,afterburner,41,80,3,3x30s/90s @max_effort w:r=0.33,1x420s @0.8-0.9,3x180s/90s @0.85-1 [pace:increasing] w:r=2,
3,4,5,steady,132,polarized,42,70,1,1x1800s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
4,1,1,time_trial,61,time_trial,10,0,1,1x600s @max_effort,,,
4,1,2,steady,126,polarized,42,70,1,1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
4,1,3,intensity,685,synthesis,48,80,4,6x12s/48s @max_effort w:r=0.25,1x360s @0.84-0.99,4x12s/48s @max_effort w:r=0.25,1x480s @0.84-0.99
4,1,4,steady,317,flux_stages,32,70,1,1x2160s [progressive_flux_intensity] [flux:75s@0.75],,,
4,1,5,intensity,556,afterburner,42,80,3,4x15s/45s @max_effort w:r=0.33,1x240s @0.81-0.91,3x120s/120s @0.86-1.01 [pace:increasing] w:r=1,
4,2,1,steady,123,polarized,42,70,1,1x1440s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
4,2,2,intensity,662,synthesis,42,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.75-0.9,4x10s/50s @max_effort w:r=0.2,1x360s @0.75-0.9
4,2,3,steady,197,flux,30,70,1,1x2160s [alternating_paces] [flux:60s@0.75],,,
4,2,4,intensity,245,hybrid_aerobic,,,2,3x120s/60s @0.9-1.05 w:r=2,4x90s/30s @0.9-1.05 w:r=3,,
4,2,5,steady,102,polarized,49,70,1,1x1980s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
4,3,1,intensity,665,synthesis,43,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.76-0.91,4x10s/50s @max_effort w:r=0.2,1x480s @0.76-0.91
4,3,2,steady,105,polarized,49,70,1,1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
4,3,3,intensity,666,synthesis,44,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.77-0.92,4x10s/50s @max_effort w:r=0.2,1x360s @0.77-0.92
4,3,4,steady,314,flux_stages,32,70,1,1x1980s [progressive_flux_intensity] [flux:75s@0.75],,,
4,3,5,intensity,559,afterburner,42,80,3,3x30s/90s @max_effort w:r=0.33,1x540s @0.82-0.92,8x40s/20s @0.87-1.02 [pace:increasing] w:r=2,
4,4,1,steady,107,polarized,49,70,1,1x2340s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
4,4,2,intensity,669,synthesis,45,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.78-0.93,4x10s/50s @max_effort w:r=0.2,1x480s @0.78-0.93
4,4,3,steady,200,flux,30,70,1,1x2340s [alternating_paces] [flux:60s@0.75],,,
4,4,4,intensity,250,hybrid_aerobic,,,2,6x45s/15s @0.9-1.05 w:r=3,3x120s/60s @0.9-1.05 w:r=2,,
4,4,5,steady,110,polarized,49,70,1,1x2520s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
5,1,1,time_trial,81,time_trial,10,0,1,1x600s @max_effort,,,
5,1,2,steady,120,polarized,49,70,1,1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
5,1,3,intensity,562,afterburner,42,80,3,5x15s/45s @max_effort w:r=0.33,1x300s @0.83-0.93,4x90s/90s @0.88-1.03 [pace:increasing] w:r=1,
5,1,4,steady,670,flux_stages,32,70,1,1x1620s [progressive_flux_intensity] [flux:75s@0.75],,,
5,1,5,intensity,669,synthesis,45,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.78-0.93,4x10s/50s @max_effort w:r=0.2,1x480s @0.78-0.93
5,2,1,steady,117,polarized,49,70,1,1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
5,2,2,intensity,565,afterburner,42,80,3,4x30s/90s @max_effort w:r=0.33,1x480s @0.84-0.94,6x60s/30s @0.89-1.04 [pace:increasing] w:r=2,
5,2,3,steady,364,flux,30,70,1,1x1440s [alternating_paces] [flux:60s@0.75],,,
5,2,4,intensity,254,hybrid_aerobic,,,2,4x90s/30s @0.9-1.05 w:r=3,2x180s/120s @0.9-1.05 w:r=1.5,,
5,2,5,steady,114,polarized,49,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
5,3,1,intensity,566,afterburner,42,80,3,5x15s/45s @max_effort w:r=0.33,1x360s @0.85-0.95,8x30s/30s @0.9-1.05 [pace:increasing] w:r=1,
5,3,2,steady,111,polarized,49,70,1,1x1620s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
5,3,3,intensity,542,afterburner,36,80,3,4x15s/45s @max_effort w:r=0.33,1x240s @0.75-0.85,4x90s/90s @0.8-0.95 [pace:increasing] w:r=1,
5,3,4,steady,320,flux_stages,32,70,1,1x2340s [progressive_flux_intensity] [flux:75s@0.75],,,
5,3,5,intensity,672,synthesis,46,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.79-0.94,4x10s/50s @max_effort w:r=0.2,1x360s @0.79-0.94
5,4,1,steady,143,polarized,49,70,1,1x1620s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
5,4,2,intensity,545,afterburner,37,80,3,3x30s/90s @max_effort w:r=0.33,1x540s @0.76-0.86,6x60s/30s @0.81-0.96 [pace:increasing] w:r=2,
5,4,3,steady,202,flux,32,70,1,1x2160s [alternating_paces] [flux:75s@0.75],,,
5,4,4,intensity,260,hybrid_aerobic,,,2,3x120s/60s @0.9-1.05 w:r=2,6x45s/15s @0.9-1.05 w:r=3,,
5,4,5,steady,146,polarized,49,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
6,1,1,time_trial,101,time_trial,10,0,1,1x600s @max_effort,,,
6,1,2,steady,152,polarized,49,70,1,1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
6,1,3,intensity,542,afterburner,36,80,3,4x15s/45s @max_effort w:r=0.33,1x240s @0.75-0.85,4x90s/90s @0.8-0.95 [pace:increasing] w:r=1,
6,1,4,steady,674,flux_stages,34,70,1,1x1800s [progressive_flux_intensity] [flux:90s@0.75],,,
6,1,5,intensity,265,hybrid_aerobic,,,2,4x120s/60s @0.9-1.05 w:r=2,5x90s/30s @0.9-1.05 w:r=3,,
6,2,1,steady,156,polarized,49,70,1,1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
6,2,2,intensity,545,afterburner,37,80,3,3x30s/90s @max_effort w:r=0.33,1x540s @0.76-0.86,6x60s/30s @0.81-0.96 [pace:increasing] w:r=2,
6,2,3,steady,207,flux,32,70,1,1x2520s [alternating_paces] [flux:75s@0.75],,,
6,2,4,intensity,602,atomic,,,2,5x8s/52s @max_effort w:r=0.15,4x120s/60s @0.75-1 [continuous] [pace:increasing] w:r=2,,
6,2,5,steady,193,polarized,49,70,1,1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
6,3,1,intensity,546,afterburner,38,80,3,4x15s/45s @max_effort w:r=0.33,1x300s @0.77-0.87,8x30s/30s @0.82-0.97 [pace:increasing] w:r=1,
6,3,2,steady,184,polarized,49,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
6,3,3,intensity,549,afterburner,39,80,3,3x30s/90s @max_effort w:r=0.33,1x480s @0.78-0.88,4x120s/60s @0.83-0.98 [pace:increasing] w:r=2,
6,3,4,steady,322,flux_stages,36,70,1,1x2160s [progressive_flux_intensity] [flux:90s@0.75],,,
6,3,5,intensity,270,hybrid_aerobic,,,2,8x45s/15s @0.9-1.05 w:r=3,4x120s/60s @0.9-1.05 w:r=2,,
6,4,1,steady,163,polarized,56,70,1,1x1800s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
6,4,2,intensity,551,afterburner,40,80,3,4x15s/45s @max_effort w:r=0.33,1x360s @0.79-0.89,6x60s/60s @0.84-0.99 [pace:increasing] w:r=1,
6,4,3,steady,205,flux,32,70,1,1x2340s [alternating_paces] [flux:75s@0.75],,,
6,4,4,intensity,605,atomic,,,2,6x8s/52s @max_effort w:r=0.15,2x180s/120s @0.75-1 [continuous] [pace:increasing] w:r=1.5,,
6,4,5,steady,166,polarized,56,70,1,1x2520s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
7,1,1,time_trial,121,time_trial,10,0,1,1x600s @max_effort,,,
7,1,2,steady,176,polarized,56,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
7,1,3,intensity,274,hybrid_aerobic,,,2,5x90s/30s @0.9-1.05 w:r=3,3x180s/120s @0.9-1.05 w:r=1.5,,
7,1,4,steady,680,flux_stages,36,70,1,1x1980s [progressive_flux_intensity] [flux:105s@0.75],,,
7,1,5,intensity,549,afterburner,39,80,3,3x30s/90s @max_effort w:r=0.33,1x480s @0.78-0.88,4x120s/60s @0.83-0.98 [pace:increasing] w:r=2,
7,2,1,steady,172,polarized,56,70,1,1x2160s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
7,2,2,intensity,245,hybrid_aerobic,,,2,3x120s/60s @0.9-1.05 w:r=2,4x90s/30s @0.9-1.05 w:r=3,,
7,2,3,steady,368,flux,32,70,1,1x1620s [alternating_paces] [flux:75s@0.75],,,
7,2,4,intensity,606,atomic,,,2,7x8s/52s @max_effort w:r=0.15,3x180s/60s @0.75-1 [continuous] [pace:increasing] w:r=3,,
7,2,5,steady,204,polarized,56,70,1,1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
7,3,1,intensity,250,hybrid_aerobic,,,2,6x45s/15s @0.9-1.05 w:r=3,3x120s/60s @0.9-1.05 w:r=2,,
7,3,2,steady,213,polarized,56,70,1,1x2880s [continuous_with_bursts] [burst:every_10_minutes/7s],,,
7,3,3,intensity,254,hybrid_aerobic,,,2,4x90s/30s @0.9-1.05 w:r=3,2x180s/120s @0.9-1.05 w:r=1.5,,
7,3,4,steady,325,flux_stages,36,70,1,1x2340s [progressive_flux_intensity] [flux:90s@0.75],,,
7,3,5,intensity,551,afterburner,40,80,3,4x15s/45s @max_effort w:r=0.33,1x360s @0.79-0.89,6x60s/60s @0.84-0.99 [pace:increasing] w:r=1,
7,4,1,steady,253,polarized,56,70,1,1x2520s [continuous_with_bursts] [burst:every_10_minutes/7s],,,
7,4,2,intensity,260,hybrid_aerobic,,,2,3x120s/60s @0.9-1.05 w:r=2,6x45s/15s @0.9-1.05 w:r=3,,
7,4,3,steady,210,flux,32,70,1,1x2700s [alternating_paces] [flux:75s@0.75],,,
7,4,4,intensity,609,atomic,,,2,8x8s/52s @max_effort w:r=0.15,6x90s/30s @0.75-1 [continuous] [pace:increasing] w:r=3,,
7,4,5,steady,243,polarized,56,70,1,1x2160s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
8,1,1,time_trial,141,time_trial,10,0,1,1x600s @max_effort,,,
8,1,2,steady,313,polarized,56,70,1,1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
8,1,3,intensity,260,hybrid_aerobic,,,2,3x120s/60s @0.9-1.05 w:r=2,6x45s/15s @0.9-1.05 w:r=3,,
8,1,4,steady,327,flux_stages,36,70,1,1x2520s [progressive_flux_intensity] [flux:90s@0.75],,,
8,1,5,intensity,612,atomic,,,2,5x8s/52s @max_effort w:r=0.15,12x45s/15s @0.75-1 [continuous] [pace:increasing] w:r=3,,
8,2,1,steady,303,polarized,56,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
8,2,2,intensity,265,hybrid_aerobic,,,2,4x120s/60s @0.9-1.05 w:r=2,5x90s/30s @0.9-1.05 w:r=3,,
8,2,3,steady,371,flux,34,70,1,1x1800s [alternating_paces] [flux:90s@0.75],,,
8,2,4,intensity,422,infinity,42,85,3,4x60s/60s @0.85-1 [increasing] [pace:increasing] w:r=1 +60s/rd,2x120s/120s @0.85-0.9 w:r=1 rest-60s/rd,1x240s @1.2-1.2,
8,2,5,steady,430,polarized,56,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
8,3,1,intensity,270,hybrid_aerobic,,,2,8x45s/15s @0.9-1.05 w:r=3,4x120s/60s @0.9-1.05 w:r=2,,
8,3,2,steady,363,polarized,56,70,1,1x2160s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
8,3,3,intensity,274,hybrid_aerobic,,,2,5x90s/30s @0.9-1.05 w:r=3,3x180s/120s @0.9-1.05 w:r=1.5,,
8,3,4,steady,330,flux_stages,36,70,1,1x2700s [progressive_flux_intensity] [flux:90s@0.75],,,
8,3,5,intensity,615,atomic,,,2,6x8s/52s @max_effort w:r=0.15,2x240s/120s @0.75-1 [continuous] [pace:increasing] w:r=2,,
8,4,1,steady,547,polarized,56,70,1,1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
8,4,2,intensity,280,hybrid_aerobic,,,2,4x120s/60s @0.9-1.05 w:r=2,8x45s/15s @0.9-1.05 w:r=3,,
8,4,3,steady,211,flux,36,70,1,1x1440s [alternating_paces] [flux:90s@0.75],,,
8,4,4,intensity,425,infinity,44,85,3,6x30s/30s @0.85-1.1 [increasing] [pace:increasing] w:r=1 +30s/rd,3x90s/90s @0.85-0.95 w:r=1 rest-30s/rd,1x300s @1.2-1.2,
8,4,5,steady,488,polarized,56,70,1,1x2160s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
9,1,1,time_trial,161,time_trial,10,0,1,1x600s @max_effort,,,
9,1,2,steady,663,polarized,56,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
9,1,3,intensity,616,atomic,,,2,7x8s/52s @max_effort w:r=0.15,5x120s/60s @0.75-1 [continuous] [pace:increasing] w:r=2,,
9,1,4,steady,331,flux_stages,38,70,1,1x1440s [progressive_flux_intensity] [flux:105s@0.75],,,
9,1,5,intensity,280,hybrid_aerobic,,,2,4x120s/60s @0.9-1.05 w:r=2,8x45s/15s @0.9-1.05 w:r=3,,
9,2,1,steady,553,polarized,58,70,1,1x1800s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
9,2,2,intensity,619,atomic,,,2,8x8s/52s @max_effort w:r=0.15,3x180s/120s @0.75-1 [continuous] [pace:increasing] w:r=1.5,,
9,2,3,steady,378,flux,36,70,1,1x1980s [alternating_paces] [flux:105s@0.75],,,
9,2,4,intensity,426,infinity,45,85,3,4x120s/60s @0.85-1 [increasing] [pace:increasing] w:r=2 +60s/rd,4x120s/120s @0.85-1 w:r=1 rest-30s/rd,1x180s @1.2-1.2,
9,2,5,steady,498,polarized,58,70,1,1x2520s [continuous_with_bursts] [burst:every_10_minutes/7s],,,
9,3,1,intensity,622,atomic,,,2,5x10s/50s @max_effort w:r=0.2,4x180s/60s @0.8-1 [continuous] [pace:increasing] w:r=3,,
9,3,2,steady,673,polarized,58,70,1,1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
9,3,3,intensity,625,atomic,,,2,6x10s/50s @max_effort w:r=0.2,8x90s/30s @0.8-1 [continuous] [pace:increasing] w:r=3,,
9,3,4,steady,334,flux_stages,38,70,1,1x1620s [progressive_flux_intensity] [flux:105s@0.75],,,
9,3,5,intensity,285,hybrid_aerobic,,,2,5x120s/60s @0.9-1.05 w:r=2,6x90s/30s @0.9-1.05 w:r=3,,
9,4,1,steady,373,polarized,58,70,1,1x2520s [continuous_with_bursts] [burst:every_10_minutes/7s],,,
9,4,2,intensity,626,atomic,,,2,7x10s/50s @max_effort w:r=0.2,15x45s/15s @0.8-1 [continuous] [pace:increasing] w:r=3,,
9,4,3,steady,214,flux,36,70,1,1x1620s [alternating_paces] [flux:90s@0.75],,,
9,4,4,intensity,429,infinity,45,85,3,4x30s/30s @0.85-1 [increasing] [pace:increasing] w:r=1 +60s/rd,3x180s/180s @0.85-0.95 w:r=1 rest-60s/rd,1x240s @1.2-1.2,
9,4,5,steady,440,polarized,58,70,1,1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
10,1,1,time_trial,181,time_trial,10,0,1,1x600s @max_effort,,,
10,1,2,steady,293,polarized,60,70,1,1x2880s [continuous_with_bursts] [burst:every_10_minutes/7s],,,
10,1,3,intensity,629,atomic,,,2,8x10s/50s @max_effort w:r=0.2,3x240s/120s @0.8-1 [continuous] [pace:increasing] w:r=2,,
10,1,4,steady,337,flux_stages,38,70,1,1x1800s [progressive_flux_intensity] [flux:105s@0.75],,,
10,1,5,intensity,432,infinity,45,85,3,3x120s/120s @0.85-0.95 [increasing] [pace:increasing] w:r=1 +120s/rd,6x90s/90s @0.85-1.1 w:r=1 rest-15s/rd,1x300s @1.2-1.2,
10,2,1,steady,283,polarized,60,70,1,1x1800s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
10,2,2,intensity,632,atomic,,,2,5x10s/50s @max_effort w:r=0.2,4x120s/60s @0.8-1 [continuous] [pace:increasing] w:r=2,,
10,2,3,steady,217,flux,36,70,1,1x1800s [alternating_paces] [flux:90s@0.75],,,
10,2,4,intensity,242,hybrid_anaerobic,,,2,3x60s/120s @1.05-1.2 w:r=0.5,4x30s/90s @1.05-1.2 w:r=0.33,,
10,2,5,steady,343,polarized,60,70,1,1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
10,3,1,intensity,635,atomic,,,2,6x10s/50s @max_effort w:r=0.2,2x180s/120s @0.8-1 [continuous] [pace:increasing] w:r=1.5,,
10,3,2,steady,353,polarized,60,70,1,1x3060s [continuous_with_bursts] [burst:every_10_minutes/7s],,,
10,3,3,intensity,636,atomic,,,2,7x10s/50s @max_effort w:r=0.2,3x180s/60s @0.8-1 [continuous] [pace:increasing] w:r=3,,
10,3,4,steady,684,flux_stages,38,70,1,1x1800s [progressive_flux_intensity] [flux:120s@0.75],,,
10,3,5,intensity,435,infinity,45,85,3,3x60s/60s @0.85-0.95 [increasing] [pace:increasing] w:r=1 +120s/rd,4x180s/120s @0.85-1 w:r=1.5 rest-30s/rd,1x240s @1.2-1.2,
10,4,1,steady,273,polarized,60,70,1,1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
10,4,2,intensity,639,atomic,,,2,8x10s/50s @max_effort w:r=0.2,6x90s/30s @0.8-1 [continuous] [pace:increasing] w:r=3,,
10,4,3,steady,424,flux,36,70,1,1x1440s [alternating_paces] [flux:90s@0.75],,,
10,4,4,intensity,247,hybrid_anaerobic,,,2,6x15s/45s @1.05-1.2 w:r=0.33,3x60s/120s @1.05-1.2 w:r=0.5,,
10,4,5,steady,263,polarized,60,70,1,1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
11,1,1,time_trial,201,time_trial,10,0,1,1x600s @max_effort,,,
11,1,2,steady,224,polarized,60,70,1,1x1980s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
11,1,3,intensity,436,infinity,45,85,3,4x60s/60s @0.85-1 [increasing] [pace:increasing] w:r=1 +60s/rd,2x120s/120s @0.85-1.15 w:r=1 rest-60s/rd,1x180s @1.2-1.2,
11,1,4,steady,340,flux_stages,38,70,1,1x1980s [progressive_flux_intensity] [flux:105s@0.75],,,
11,1,5,intensity,642,atomic,,,2,5x12s/48s @max_effort w:r=0.25,12x45s/15s @0.85-1 [continuous] [pace:increasing] w:r=3,,
11,2,1,steady,233,polarized,60,70,1,1x3060s [continuous_with_bursts] [burst:every_10_minutes/7s],,,
11,2,2,intensity,439,infinity,45,85,3,60x30s/30s @0.85-1.1 [increasing] [pace:increasing] w:r=1 +30s/rd rest10s/rd,3x90s/90s @0.85-1.15 w:r=1 rest-30s/rd,1x239s @1.2-1.2,
11,2,3,steady,220,flux,36,70,1,1x1980s [alternating_paces] [flux:90s@0.75],,,
11,2,4,intensity,251,hybrid_anaerobic,,,2,4x30s/90s @1.05-1.2 w:r=0.33,2x120s/180s @1.05-1.2 w:r=0.67,,
