Month,Week,Day,Session,Cat. Day,Type,Duration (min),Intensity %,Blocks,Block 1,Block 2,Block 3,Block 4
4,1,3,intensity,675,synthesis,47,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.8-0.95,4x10s/50s @max_effort w:r=0.2,1x480s @0.8-0.95
4,2,1,steady,94,polarized,42,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
4,2,2,intensity,549,afterburner,39,80,3,3x30s/90s @max_effort w:r=0.33,1x480s @0.78-0.88,4x120s/60s @0.83-0.98 [pace:increasing] w:r=2,
4,2,3,steady,197,flux,30,70,1,1x2160s [alternating_paces] [flux:60s@0.75],,,
4,3,1,intensity,676,synthesis,48,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.81-0.96,4x10s/50s @max_effort w:r=0.2,1x360s @0.81-0.96
4,3,2,steady,97,polarized,42,70,1,1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
4,3,3,intensity,245,hybrid_aerobic,,,2,3x120s/60s @0.9-1.05 w:r=2,4x90s/30s @0.9-1.05 w:r=3,,
4,4,1,steady,100,polarized,42,70,1,1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
4,4,2,intensity,679,synthesis,48,80,4,6x10s/50s @max_effort w:r=0.2,1x240s @0.82-0.97,4x10s/50s @max_effort w:r=0.2,1x480s @0.82-0.97
4,4,3,steady,200,flux,30,70,1,1x2340s [alternating_paces] [flux:60s@0.75],,,
5,1,1,time_trial,81,time_trial,10,0,1,1x600s @max_effort,,,
5,1,2,steady,136,polarized,42,70,1,1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
5,1,3,intensity,551,afterburner,40,80,3,4x15s/45s @max_effort w:r=0.33,1x360s @0.79-0.89,6x60s/60s @0.84-0.99 [pace:increasing] w:r=1,
5,2,1,steady,132,polarized,42,70,1,1x1800s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
5,2,2,intensity,682,synthesis,48,80,4,6x12s/48s @max_effort w:r=0.25,1x360s @0.83-0.98,4x12s/48s @max_effort w:r=0.25,1x480s @0.83-0.98
5,2,3,steady,302,flux_stages,30,70,1,1x1440s [progressive_flux_intensity] [flux:60s@0.75],,,
5,3,1,intensity,554,afterburner,41,80,3,3x30s/90s @max_effort w:r=0.33,1x420s @0.8-0.9,3x180s/90s @0.85-1 [pace:increasing] w:r=2,
5,3,2,steady,126,polarized,42,70,1,1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
5,3,3,intensity,250,hybrid_aerobic,,,2,6x45s/15s @0.9-1.05 w:r=3,3x120s/60s @0.9-1.05 w:r=2,,
5,4,1,steady,123,polarized,42,70,1,1x1440s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
5,4,2,intensity,556,afterburner,42,80,3,4x15s/45s @max_effort w:r=0.33,1x240s @0.81-0.91,3x120s/120s @0.86-1.01 [pace:increasing] w:r=1,
5,4,3,steady,305,flux_stages,30,70,1,1x1620s [progressive_flux_intensity] [flux:60s@0.75],,,
6,1,1,time_trial,101,time_trial,10,0,1,1x600s @max_effort,,,
6,1,2,steady,102,polarized,49,70,1,1x1980s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
6,1,3,intensity,559,afterburner,42,80,3,3x30s/90s @max_effort w:r=0.33,1x540s @0.82-0.92,8x40s/20s @0.87-1.02 [pace:increasing] w:r=2,
6,2,1,steady,105,polarized,49,70,1,1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
6,2,2,intensity,254,hybrid_aerobic,,,2,4x90s/30s @0.9-1.05 w:r=3,2x180s/120s @0.9-1.05 w:r=1.5,,
6,2,3,steady,307,flux_stages,30,70,1,1x1800s [progressive_flux_intensity] [flux:60s@0.75],,,
6,3,1,intensity,562,afterburner,42,80,3,5x15s/45s @max_effort w:r=0.33,1x300s @0.83-0.93,4x90s/90s @0.88-1.03 [pace:increasing] w:r=1,
6,3,2,steady,107,polarized,49,70,1,1x2340s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
6,3,3,intensity,602,atomic,,,2,5x8s/52s @max_effort w:r=0.15,4x120s/60s @0.75-1 [continuous] [pace:increasing] w:r=2,,
6,4,1,steady,110,polarized,49,70,1,1x2520s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
6,4,2,intensity,565,afterburner,42,80,3,4x30s/90s @max_effort w:r=0.33,1x480s @0.84-0.94,6x60s/30s @0.89-1.04 [pace:increasing] w:r=2,
6,4,3,steady,364,flux,30,70,1,1x1440s [alternating_paces] [flux:60s@0.75],,,
7,1,1,time_trial,121,time_trial,10,0,1,1x600s @max_effort,,,
7,1,2,steady,120,polarized,49,70,1,1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
7,1,3,intensity,260,hybrid_aerobic,,,2,3x120s/60s @0.9-1.05 w:r=2,6x45s/15s @0.9-1.05 w:r=3,,
7,2,1,steady,117,polarized,49,70,1,1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
7,2,2,intensity,566,afterburner,42,80,3,5x15s/45s @max_effort w:r=0.33,1x360s @0.85-0.95,8x30s/30s @0.9-1.05 [pace:increasing] w:r=1,
7,2,3,steady,310,flux_stages,30,70,1,1x1980s [progressive_flux_intensity] [flux:60s@0.75],,,
7,3,1,intensity,265,hybrid_aerobic,,,2,4x120s/60s @0.9-1.05 w:r=2,5x90s/30s @0.9-1.05 w:r=3,,
7,3,2,steady,114,polarized,49,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
7,3,3,intensity,605,atomic,,,2,6x8s/52s @max_effort w:r=0.15,2x180s/120s @0.75-1 [continuous] [pace:increasing] w:r=1.5,,
7,4,1,steady,111,polarized,49,70,1,1x1620s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
7,4,2,intensity,270,hybrid_aerobic,,,2,8x45s/15s @0.9-1.05 w:r=3,4x120s/60s @0.9-1.05 w:r=2,,
7,4,3,steady,664,flux_stages,30,70,1,1x1440s [progressive_flux_intensity] [flux:60s@0.75],,,
8,1,1,time_trial,141,time_trial,10,0,1,1x600s @max_effort,,,
8,1,2,steady,143,polarized,49,70,1,1x1620s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
8,1,3,intensity,274,hybrid_aerobic,,,2,5x90s/30s @0.9-1.05 w:r=3,3x180s/120s @0.9-1.05 w:r=1.5,,
8,2,1,steady,146,polarized,49,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
8,2,2,intensity,606,atomic,,,2,7x8s/52s @max_effort w:r=0.15,3x180s/60s @0.75-1 [continuous] [pace:increasing] w:r=3,,
8,2,3,steady,207,flux,32,70,1,1x2520s [alternating_paces] [flux:75s@0.75],,,
8,3,1,intensity,280,hybrid_aerobic,,,2,4x120s/60s @0.9-1.05 w:r=2,8x45s/15s @0.9-1.05 w:r=3,,
8,3,2,steady,152,polarized,49,70,1,1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
8,3,3,intensity,422,infinity,42,85,3,4x60s/60s @0.85-1 [increasing] [pace:increasing] w:r=1 +60s/rd,2x120s/120s @0.85-0.9 w:r=1 rest-60s/rd,1x240s @1.2-1.2,
8,4,1,steady,156,polarized,49,70,1,1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
8,4,2,intensity,245,hybrid_aerobic,,,2,3x120s/60s @0.9-1.05 w:r=2,4x90s/30s @0.9-1.05 w:r=3,,
8,4,3,steady,202,flux,32,70,1,1x2160s [alternating_paces] [flux:75s@0.75],,,
9,1,1,time_trial,161,time_trial,10,0,1,1x600s @max_effort,,,
9,1,2,steady,193,polarized,49,70,1,1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
9,1,3,intensity,609,atomic,,,2,8x8s/52s @max_effort w:r=0.15,6x90s/30s @0.75-1 [continuous] [pace:increasing] w:r=3,,
9,2,1,steady,184,polarized,49,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
9,2,2,intensity,245,hybrid_aerobic,,,2,3x120s/60s @0.9-1.05 w:r=2,4x90s/30s @0.9-1.05 w:r=3,,
9,2,3,steady,317,flux_stages,32,70,1,1x2160s [progressive_flux_intensity] [flux:75s@0.75],,,
9,3,1,intensity,612,atomic,,,2,5x8s/52s @max_effort w:r=0.15,12x45s/15s @0.75-1 [continuous] [pace:increasing] w:r=3,,
9,3,2,steady,163,polarized,56,70,1,1x1800s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
9,3,3,intensity,425,infinity,44,85,3,6x30s/30s @0.85-1.1 [increasing] [pace:increasing] w:r=1 +30s/rd,3x90s/90s @0.85-0.95 w:r=1 rest-30s/rd,1x300s @1.2-1.2,
9,4,1,steady,166,polarized,56,70,1,1x2520s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
9,4,2,intensity,615,atomic,,,2,6x8s/52s @max_effort w:r=0.15,2x240s/120s @0.75-1 [continuous] [pace:increasing] w:r=2,,
9,4,3,steady,314,flux_stages,32,70,1,1x1980s [progressive_flux_intensity] [flux:75s@0.75],,,
10,1,1,time_trial,181,time_trial,10,0,1,1x600s @max_effort,,,
10,1,2,steady,176,polarized,56,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
10,1,3,intensity,616,atomic,,,2,7x8s/52s @max_effort w:r=0.15,5x120s/60s @0.75-1 [continuous] [pace:increasing] w:r=2,,
10,2,1,steady,172,polarized,56,70,1,1x2160s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
10,2,2,intensity,426,infinity,45,85,3,4x120s/60s @0.85-1 [increasing] [pace:increasing] w:r=2 +60s/rd,4x120s/120s @0.85-1 w:r=1 rest-30s/rd,1x180s @1.2-1.2,
10,2,3,steady,320,flux_stages,32,70,1,1x2340s [progressive_flux_intensity] [flux:75s@0.75],,,
10,3,1,intensity,619,atomic,,,2,8x8s/52s @max_effort w:r=0.15,3x180s/120s @0.75-1 [continuous] [pace:increasing] w:r=1.5,,
10,3,2,steady,204,polarized,56,70,1,1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
10,3,3,intensity,242,hybrid_anaerobic,,,2,3x60s/120s @1.05-1.2 w:r=0.5,4x30s/90s @1.05-1.2 w:r=0.33,,
10,4,1,steady,213,polarized,56,70,1,1x2880s [continuous_with_bursts] [burst:every_10_minutes/7s],,,
10,4,2,intensity,622,atomic,,,2,5x10s/50s @max_effort w:r=0.2,4x180s/60s @0.8-1 [continuous] [pace:increasing] w:r=3,,
10,4,3,steady,210,flux,32,70,1,1x2700s [alternating_paces] [flux:75s@0.75],,,
11,1,1,time_trial,201,time_trial,10,0,1,1x600s @max_effort,,,
11,1,2,steady,253,polarized,56,70,1,1x2520s [continuous_with_bursts] [burst:every_10_minutes/7s],,,
11,1,3,intensity,429,infinity,45,85,3,4x30s/30s @0.85-1 [increasing] [pace:increasing] w:r=1 +60s/rd,3x180s/180s @0.85-0.95 w:r=1 rest-60s/rd,1x240s @1.2-1.2,
11,2,1,steady,243,polarized,56,70,1,1x2160s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
11,2,2,intensity,625,atomic,,,2,6x10s/50s @max_effort w:r=0.2,8x90s/30s @0.8-1 [continuous] [pace:increasing] w:r=3,,
11,2,3,steady,311,flux_stages,32,70,1,1x1800s [progressive_flux_intensity] [flux:75s@0.75],,,
11,3,1,intensity,432,infinity,45,85,3,3x120s/120s @0.85-0.95 [increasing] [pace:increasing] w:r=1 +120s/rd,6x90s/90s @0.85-1.1 w:r=1 rest-15s/rd,1x300s @1.2-1.2,
11,3,2,steady,313,polarized,56,70,1,1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
11,3,3,intensity,247,hybrid_anaerobic,,,2,6x15s/45s @1.05-1.2 w:r=0.33,3x60s/120s @1.05-1.2 w:r=0.5,,
11,4,1,steady,303,polarized,56,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
11,4,2,intensity,435,infinity,45,85,3,3x60s/60s @0.85-0.95 [increasing] [pace:increasing] w:r=1 +120s/rd,4x180s/120s @0.85-1 w:r=1.5 rest-30s/rd,1x240s @1.2-1.2,
11,4,3,steady,368,flux,32,70,1,1x1620s [alternating_paces] [flux:75s@0.75],,,
12,1,1,time_trial,221,time_trial,10,0,1,1x600s @max_effort,,,
12,1,2,steady,430,polarized,56,70,1,1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
12,1,3,intensity,251,hybrid_anaerobic,,,2,4x30s/90s @1.05-1.2 w:r=0.33,2x120s/180s @1.05-1.2 w:r=0.67,,
12,2,1,steady,363,polarized,56,70,1,1x2160s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
12,2,2,intensity,436,infinity,45,85,3,4x60s/60s @0.85-1 [increasing] [pace:increasing] w:r=1 +60s/rd,2x120s/120s @0.85-1.15 w:r=1 rest-60s/rd,1x180s @1.2-1.2,
12,2,3,steady,670,flux_stages,32,70,1,1x1620s [progressive_flux_intensity] [flux:75s@0.75],,,
12,3,1,intensity,257,hybrid_anaerobic,,,2,3x60s/120s @1.05-1.2 w:r=0.5,6x15s/45s @1.05-1.2 w:r=0.33,,
12,3,2,steady,547,polarized,56,70,1,1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s],,,
12,3,3,intensity,626,atomic,,,2,7x10s/50s @max_effort w:r=0.2,15x45s/15s @0.8-1 [continuous] [pace:increasing] w:r=3,,
12,4,1,steady,488,polarized,56,70,1,1x2160s [continuous_with_bursts] [burst:every_5_minutes/7s],,,
12,4,2,intensity,262,hybrid_anaerobic,,,2,4x60s/120s @1.05-1.2 w:r=0.5,5x30s/90s @1.05-1.2 w:r=0.33,,
12,4,3,steady,205,flux,32,70,1,1x2340s [alternating_paces] [flux:75s@0.75],,,
