day,type,month,duration_min,intensity_pct,block_count,block1,block2,block3,block4
31,endurance,2,25,70,1,"1x1800s @0.7-0.7","","",""
32,max_aerobic_power,2,24,95,1,"3x300s/300s @0.85-1.05 w:r=1","","",""
33,interval,2,28,95,1,"8x60s/120s @0.8-1.1 w:r=0.5","","",""
34,threshold,2,15,90,1,"1x900s @0.85-0.95","","",""
35,anaerobic,2,24,0,1,"8x30s/150s @max_effort w:r=0.2","","",""
36,max_aerobic_power,2,24,95,1,"21x30s/30s @0.85-1.05 w:r=1","","",""
37,interval,2,28,95,1,"6x180s/60s @0.8-1.1 w:r=3","","",""
38,threshold,2,15,90,1,"1x1080s @0.85-0.95","","",""
39,anaerobic,2,24,0,1,"6x45s/225s @max_effort w:r=0.2","","",""
40,endurance,2,25,70,1,"1x1980s @0.7-0.7","","",""
41,time_trial,3,10,0,1,"1x600s @max_effort","","",""
42,anaerobic,3,24,0,1,"8x30s/150s @max_effort w:r=0.2","","",""
43,endurance,3,25,70,1,"1x1620s @0.7-0.7","","",""
44,max_aerobic_power,3,24,95,1,"4x240s/240s @0.85-1.05 w:r=1","","",""
45,interval,3,28,95,1,"10x120s/60s @0.8-1.1 w:r=2","","",""
46,anaerobic,3,24,0,1,"10x20s/100s @max_effort w:r=0.2","","",""
47,endurance,3,25,70,1,"1x1800s @0.7-0.7","","",""
48,max_aerobic_power,3,24,95,1,"12x90s/90s @0.85-1.05 w:r=1","","",""
49,interval,3,28,95,1,"6x180s/120s @0.8-1.1 w:r=1.5","","",""
50,threshold,3,15,90,1,"1x720s @0.85-0.95","","",""
51,endurance,3,25,70,1,"1x1980s @0.7-0.7","","",""
52,max_aerobic_power,3,24,95,1,"3x360s/360s @0.85-1.05 w:r=1","","",""
53,interval,3,28,95,1,"10x60s/120s @0.8-1.1 w:r=0.5","","",""
54,threshold,3,15,90,1,"1x900s @0.85-0.95","","",""
55,anaerobic,3,24,0,1,"8x30s/150s @max_effort w:r=0.2","","",""
56,max_aerobic_power,3,24,95,1,"24x30s/30s @0.85-1.05 w:r=1","","",""
57,interval,3,28,95,1,"8x180s/60s @0.8-1.1 w:r=3","","",""
58,threshold,3,15,90,1,"1x1080s @0.85-0.95","","",""
59,anaerobic,3,24,0,1,"6x45s/225s @max_effort w:r=0.2","","",""
60,endurance,3,25,70,1,"1x2160s @0.7-0.7","","",""
61,time_trial,4,10,0,1,"1x600s @max_effort","","",""
62,polarized,4,35,70,1,"1x1440s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
63,anaerobic,4,24,0,1,"6x30s/150s @max_effort w:r=0.2","","",""
64,interval,4,28,95,1,"6x120s/60s @0.8-1.1 w:r=2","","",""
65,polarized,4,35,70,1,"1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
66,anaerobic,4,24,0,1,"8x20s/100s @max_effort w:r=0.2","","",""
67,polarized,4,35,70,1,"1x1800s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
68,endurance,4,30,70,1,"1x1800s @0.7-0.7","","",""
69,interval,4,28,95,1,"4x180s/120s @0.8-1.1 w:r=1.5","","",""
70,polarized,4,35,70,1,"1x1980s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
71,polarized,4,35,70,1,"1x1620s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
72,anaerobic,4,24,0,1,"6x30s/150s @max_effort w:r=0.2","","",""
73,endurance,4,30,70,1,"1x1980s @0.7-0.7","","",""
74,polarized,4,35,70,1,"1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
75,interval,4,28,95,1,"6x60s/120s @0.8-1.1 w:r=0.5","","",""
76,anaerobic,4,24,0,1,"4x45s/225s @max_effort w:r=0.2","","",""
77,polarized,4,35,70,1,"1x1800s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
78,endurance,4,30,70,1,"1x2160s @0.7-0.7","","",""
79,interval,4,28,95,1,"5x180s/60s @0.8-1.1 w:r=3","","",""
80,polarized,4,35,70,1,"1x1980s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
81,time_trial,5,10,0,1,"1x600s @max_effort","","",""
82,polarized,5,42,70,1,"1x1800s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
83,anaerobic,5,30,0,1,"8x30s/150s @max_effort w:r=0.2","","",""
84,interval,5,32,95,1,"8x120s/60s @0.8-1.1 w:r=2","","",""
85,polarized,5,42,70,1,"1x2520s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
86,anaerobic,5,30,0,1,"10x20s/100s @max_effort w:r=0.2","","",""
87,polarized,5,42,70,1,"1x2160s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
88,endurance,5,35,70,1,"1x1980s @0.7-0.7","","",""
89,interval,5,32,95,1,"5x180s/120s @0.8-1.1 w:r=1.5","","",""
90,polarized,5,42,70,1,"1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
91,polarized,5,42,70,1,"1x1620s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
92,anaerobic,5,30,0,1,"8x30s/150s @max_effort w:r=0.2","","",""
93,endurance,5,35,70,1,"1x2160s @0.7-0.7","","",""
94,polarized,5,42,70,1,"1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
95,interval,5,32,95,1,"8x60s/120s @0.8-1.1 w:r=0.5","","",""
96,anaerobic,5,30,0,1,"6x45s/225s @max_effort w:r=0.2","","",""
97,polarized,5,42,70,1,"1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
98,endurance,5,35,70,1,"1x2340s @0.7-0.7","","",""
99,interval,5,32,95,1,"6x180s/60s @0.8-1.1 w:r=3","","",""
100,polarized,5,42,70,1,"1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
101,time_trial,6,10,0,1,"1x600s @max_effort","","",""
102,polarized,6,49,70,1,"1x1980s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
103,anaerobic,6,36,0,1,"8x30s/150s @max_effort w:r=0.2","","",""
104,interval,6,36,95,1,"10x120s/60s @0.8-1.1 w:r=2","","",""
105,polarized,6,49,70,1,"1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
106,anaerobic,6,36,0,1,"10x20s/100s @max_effort w:r=0.2","","",""
107,polarized,6,49,70,1,"1x2340s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
108,endurance,6,40,70,1,"1x2160s @0.7-0.7","","",""
109,interval,6,36,95,1,"6x180s/120s @0.8-1.1 w:r=1.5","","",""
110,polarized,6,49,70,1,"1x2520s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
111,polarized,6,49,70,1,"1x1620s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
112,anaerobic,6,36,0,1,"8x30s/150s @max_effort w:r=0.2","","",""
113,endurance,6,40,70,1,"1x2340s @0.7-0.7","","",""
114,polarized,6,49,70,1,"1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
115,interval,6,36,95,1,"10x120s/120s @0.8-1.1 w:r=1","","",""
116,anaerobic,6,36,0,1,"6x45s/225s @max_effort w:r=0.2","","",""
117,polarized,6,49,70,1,"1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
118,endurance,6,40,70,1,"1x2400s @0.7-0.7","","",""
119,interval,6,36,95,1,"8x180s/60s @0.8-1.1 w:r=3","","",""
120,polarized,6,49,70,1,"1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
121,time_trial,7,10,0,1,"1x600s @max_effort","","",""
122,rocket_races_a,,,,1,"6x60s/120s @0.95-1.1 w:r=0.5","","",""
123,polarized,7,42,70,1,"1x1440s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
124,interval,7,32,95,1,"6x120s/60s @0.8-1.1 w:r=2","","",""
125,rocket_races_b,,,,1,"6x60s/60s @0.95-1.1 w:r=1","","",""
126,polarized,7,42,70,1,"1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
127,rocket_races_a,,,,1,"8x30s/90s @0.95-1.1 w:r=0.33","","",""
128,threshold,7,12,90,1,"1x720s @0.85-0.95","","",""
129,interval,7,32,95,1,"4x180s/120s @0.8-1.1 w:r=1.5","","",""
130,rocket_races_b,,,,1,"8x30s/30s @0.95-1.1 w:r=1","","",""
131,rocket_races_a,,,,1,"4x90s/180s @0.95-1.1 w:r=0.5","","",""
132,polarized,7,42,70,1,"1x1800s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
133,threshold,7,12,90,1,"1x900s @0.85-0.95","","",""
134,rocket_races_b,,,,1,"4x90s/90s @0.95-1.1 w:r=1","","",""
135,interval,7,32,95,1,"6x60s/120s @0.8-1.1 w:r=0.5","","",""
136,polarized,7,42,70,1,"1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
137,rocket_races_a,,,,1,"4x60s/180s @0.95-1.1 w:r=0.33","","",""
138,threshold,7,12,90,1,"1x1080s @0.85-0.95","","",""
139,interval,7,32,95,1,"5x180s/60s @0.8-1.1 w:r=3","","",""
140,rocket_races_b,,,,1,"4x60s/60s @0.95-1.1 w:r=1","","",""
141,time_trial,8,10,0,1,"1x600s @max_effort","","",""
142,rocket_races_a,,,,1,"8x60s/120s @0.95-1.1 w:r=0.5","","",""
143,polarized,8,49,70,1,"1x1620s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
144,interval,8,36,95,1,"8x120s/60s @0.8-1.1 w:r=2","","",""
145,rocket_races_b,,,,1,"8x60s/60s @0.95-1.1 w:r=1","","",""
146,polarized,8,49,70,1,"1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
147,rocket_races_a,,,,1,"10x30s/90s @0.95-1.1 w:r=0.33","","",""
148,threshold,8,15,90,1,"1x720s @0.85-0.95","","",""
149,interval,8,36,95,1,"5x180s/120s @0.8-1.1 w:r=1.5","","",""
150,rocket_races_b,,,,1,"10x30s/30s @0.95-1.1 w:r=1","","",""
151,rocket_races_a,,,,1,"5x90s/180s @0.95-1.1 w:r=0.5","","",""
152,polarized,8,49,70,1,"1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
153,threshold,8,15,90,1,"1x900s @0.85-0.95","","",""
154,rocket_races_b,,,,1,"5x90s/90s @0.95-1.1 w:r=1","","",""
155,interval,8,36,95,1,"8x60s/120s @0.8-1.1 w:r=0.5","","",""
156,polarized,8,49,70,1,"1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
157,rocket_races_a,,,,1,"6x60s/180s @0.95-1.1 w:r=0.33","","",""
158,threshold,8,15,90,1,"1x1080s @0.85-0.95","","",""
159,interval,8,36,95,1,"6x180s/60s @0.8-1.1 w:r=3","","",""
160,rocket_races_b,,,,1,"6x60s/60s @0.95-1.1 w:r=1","","",""
161,time_trial,9,10,0,1,"1x600s @max_effort","","",""
162,rocket_races_a,,,,1,"10x60s/120s @0.95-1.1 w:r=0.5","","",""
163,polarized,9,56,70,1,"1x1800s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
164,interval,9,36,95,1,"10x120s/60s @0.8-1.1 w:r=2","","",""
165,rocket_races_b,,,,1,"10x60s/60s @0.95-1.1 w:r=1","","",""
166,polarized,9,56,70,1,"1x2520s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
167,rocket_races_a,,,,1,"12x30s/90s @0.95-1.1 w:r=0.33","","",""
168,threshold,9,18,90,1,"1x720s @0.85-0.95","","",""
169,interval,9,36,95,1,"6x180s/120s @0.8-1.1 w:r=1.5","","",""
170,rocket_races_b,,,,1,"12x30s/30s @0.95-1.1 w:r=1","","",""
171,rocket_races_a,,,,1,"6x90s/180s @0.95-1.1 w:r=0.5","","",""
172,polarized,9,56,70,1,"1x2160s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
173,threshold,9,18,90,1,"1x900s @0.85-0.95","","",""
174,rocket_races_b,,,,1,"6x90s/90s @0.95-1.1 w:r=1","","",""
175,interval,9,36,95,1,"10x60s/120s @0.8-1.1 w:r=0.5","","",""
176,polarized,9,56,70,1,"1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
177,rocket_races_a,,,,1,"8x60s/180s @0.95-1.1 w:r=0.33","","",""
178,threshold,9,18,90,1,"1x1080s @0.85-0.95","","",""
179,interval,9,36,95,1,"8x180s/60s @0.8-1.1 w:r=3","","",""
180,rocket_races_b,,,,1,"8x60s/60s @0.95-1.1 w:r=1","","",""
181,time_trial,10,10,0,1,"1x600s @max_effort","","",""
182,flux,10,28,70,1,"1x1440s [alternating_paces] [flux:60s@0.7]","","",""
183,anaerobic,10,28,0,1,"6x30s/150s @max_effort w:r=0.2","","",""
184,polarized,10,49,70,1,"1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
185,flux,10,28,70,1,"1x1620s [alternating_paces] [flux:60s@0.75]","","",""
186,interval,10,36,95,1,"6x30s/90s @0.8-1.1 w:r=0.33","","",""
187,flux,10,28,70,1,"1x1800s [alternating_paces] [flux:60s@0.75]","","",""
188,endurance,10,35,70,1,"1x1980s @0.7-0.7","","",""
189,anaerobic,10,28,0,1,"8x20s/100s @max_effort w:r=0.2","","",""
190,flux,10,28,70,1,"1x1980s [alternating_paces] [flux:60s@0.75]","","",""
191,flux,10,30,70,1,"1x1800s [alternating_paces] [flux:60s@0.75]","","",""
192,anaerobic,10,28,0,1,"6x30s/150s @max_effort w:r=0.2","","",""
193,polarized,10,49,70,1,"1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
194,flux,10,30,70,1,"1x1980s [alternating_paces] [flux:60s@0.75]","","",""
195,ascending,10,18,110,1,"10x60s/60s @0.8-1.25 [pace:increasing] w:r=1","","",""
196,interval,10,36,95,1,"4x120s/180s @0.8-1.1 w:r=0.67","","",""
197,flux,10,30,70,1,"1x2160s [alternating_paces] [flux:60s@0.75]","","",""
198,endurance,10,35,70,1,"1x2160s @0.7-0.7","","",""
199,anaerobic,10,28,0,1,"4x45s/225s @max_effort w:r=0.2","","",""
200,flux,10,30,70,1,"1x2340s [alternating_paces] [flux:60s@0.75]","","",""
201,time_trial,11,10,0,1,"1x600s @max_effort","","",""
202,flux,11,32,70,1,"1x2160s [alternating_paces] [flux:75s@0.75]","","",""
203,anaerobic,11,32,0,1,"8x30s/150s @max_effort w:r=0.2","","",""
204,polarized,11,56,70,1,"1x2160s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
205,flux,11,32,70,1,"1x2340s [alternating_paces] [flux:75s@0.75]","","",""
206,interval,11,36,95,1,"8x30s/90s @0.8-1.1 w:r=0.33","","",""
207,flux,11,32,70,1,"1x2520s [alternating_paces] [flux:75s@0.75]","","",""
208,endurance,11,40,70,1,"1x2160s @0.7-0.7","","",""
209,anaerobic,11,32,0,1,"10x20s/100s @max_effort w:r=0.2","","",""
210,flux,11,32,70,1,"1x2700s [alternating_paces] [flux:75s@0.75]","","",""
211,flux,11,36,70,1,"1x1440s [alternating_paces] [flux:90s@0.75]","","",""
212,anaerobic,11,32,0,1,"8x30s/150s @max_effort w:r=0.2","","",""
213,polarized,11,56,70,1,"1x2880s [continuous_with_bursts] [burst:every_10_minutes/7s]","","",""
214,flux,11,36,70,1,"1x1620s [alternating_paces] [flux:90s@0.75]","","",""
215,ascending,11,21,110,1,"10x30s/30s @0.8-1.25 [pace:increasing] w:r=1","","",""
216,interval,11,36,95,1,"5x120s/180s @0.8-1.1 w:r=0.67","","",""
217,flux,11,36,70,1,"1x1800s [alternating_paces] [flux:90s@0.75]","","",""
218,endurance,11,40,70,1,"1x2340s @0.7-0.7","","",""
219,anaerobic,11,32,0,1,"6x45s/225s @max_effort w:r=0.2","","",""
220,flux,11,36,70,1,"1x1980s [alternating_paces] [flux:90s@0.75]","","",""
221,time_trial,12,10,0,1,"1x600s @max_effort","","",""
222,flux,12,40,70,1,"1x1800s [alternating_paces] [flux:120s@0.75]","","",""
223,anaerobic,12,36,0,1,"8x30s/150s @max_effort w:r=0.2","","",""
224,polarized,12,60,70,1,"1x1980s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
225,flux,12,40,70,1,"1x1980s [alternating_paces] [flux:120s@0.75]","","",""
226,interval,12,36,95,1,"10x30s/90s @0.8-1.1 w:r=0.33","","",""
227,flux,12,40,70,1,"1x2160s [alternating_paces] [flux:120s@0.75]","","",""
228,endurance,12,45,70,1,"1x2340s @0.7-0.7","","",""
229,anaerobic,12,36,0,1,"10x20s/100s @max_effort w:r=0.2","","",""
230,flux,12,40,70,1,"1x2340s [alternating_paces] [flux:120s@0.75]","","",""
231,flux,12,42,70,1,"1x2160s [alternating_paces] [flux:90s@0.75]","","",""
232,anaerobic,12,36,0,1,"8x30s/150s @max_effort w:r=0.2","","",""
233,polarized,12,60,70,1,"1x3060s [continuous_with_bursts] [burst:every_10_minutes/7s]","","",""
234,flux,12,42,70,1,"1x2340s [alternating_paces] [flux:90s@0.75]","","",""
235,ascending,12,24,110,1,"10x90s/90s @0.8-1.25 [pace:increasing] w:r=1","","",""
236,interval,12,36,95,1,"6x120s/180s @0.8-1.1 w:r=0.67","","",""
237,flux,12,42,70,1,"1x2520s [alternating_paces] [flux:90s@0.75]","","",""
238,endurance,12,45,70,1,"1x2520s @0.7-0.7","","",""
239,anaerobic,12,36,0,1,"6x45s/225s @max_effort w:r=0.2","","",""
240,flux,12,42,70,1,"1x2700s [alternating_paces] [flux:90s@0.75]","","",""
241,time_trial,13,10,0,1,"1x600s @max_effort","","",""
242,hybrid_anaerobic,,,,2,"3x60s/120s @1.05-1.2 w:r=0.5","4x30s/90s @1.05-1.2 w:r=0.33","",""
243,polarized,13,56,70,1,"1x2160s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
244,flux,13,40,70,1,"1x1440s [alternating_paces] [flux:120s@0.75]","","",""
245,hybrid_aerobic,,,,2,"3x120s/60s @0.9-1.05 w:r=2","4x90s/30s @0.9-1.05 w:r=3","",""
246,flux,13,40,70,1,"1x1620s [alternating_paces] [flux:120s@0.75]","","",""
247,hybrid_anaerobic,,,,2,"6x15s/45s @1.05-1.2 w:r=0.33","3x60s/120s @1.05-1.2 w:r=0.5","",""
248,endurance,13,40,70,1,"1x2160s @0.7-0.7","","",""
249,interval,13,36,95,1,"6x120s/60s @0.8-1.1 w:r=2","","",""
250,hybrid_aerobic,,,,2,"6x45s/15s @0.9-1.05 w:r=3","3x120s/60s @0.9-1.05 w:r=2","",""
251,hybrid_anaerobic,,,,2,"4x30s/90s @1.05-1.2 w:r=0.33","2x120s/180s @1.05-1.2 w:r=0.67","",""
252,interval,13,36,95,1,"8x60s/120s @0.8-1.1 w:r=0.5","","",""
253,polarized,13,56,70,1,"1x2520s [continuous_with_bursts] [burst:every_10_minutes/7s]","","",""
254,hybrid_aerobic,,,,2,"4x90s/30s @0.9-1.05 w:r=3","2x180s/120s @0.9-1.05 w:r=1.5","",""
255,flux,13,40,70,1,"1x1800s [alternating_paces] [flux:120s@0.75]","","",""
256,flux,13,42,70,1,"1x1980s [alternating_paces] [flux:90s@0.75]","","",""
257,hybrid_anaerobic,,,,2,"3x60s/120s @1.05-1.2 w:r=0.5","6x15s/45s @1.05-1.2 w:r=0.33","",""
258,endurance,13,40,70,1,"1x2340s @0.7-0.7","","",""
259,interval,13,36,95,1,"4x180s/60s @0.8-1.1 w:r=3","","",""
260,hybrid_aerobic,,,,2,"3x120s/60s @0.9-1.05 w:r=2","6x45s/15s @0.9-1.05 w:r=3","",""
261,time_trial,14,10,0,1,"1x600s @max_effort","","",""
262,hybrid_anaerobic,,,,2,"4x60s/120s @1.05-1.2 w:r=0.5","5x30s/90s @1.05-1.2 w:r=0.33","",""
263,polarized,14,60,70,1,"1x1980s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
264,flux,14,42,70,1,"1x1800s [alternating_paces] [flux:90s@0.75]","","",""
265,hybrid_aerobic,,,,2,"4x120s/60s @0.9-1.05 w:r=2","5x90s/30s @0.9-1.05 w:r=3","",""
266,flux,14,42,70,1,"1x1980s [alternating_paces] [flux:90s@0.75]","","",""
267,hybrid_anaerobic,,,,2,"8x15s/45s @1.05-1.2 w:r=0.33","4x60s/120s @1.05-1.2 w:r=0.5","",""
268,endurance,14,45,70,1,"1x2340s @0.7-0.7","","",""
269,interval,14,36,95,1,"7x120s/60s @0.8-1.1 w:r=2","","",""
270,hybrid_aerobic,,,,2,"8x45s/15s @0.9-1.05 w:r=3","4x120s/60s @0.9-1.05 w:r=2","",""
271,hybrid_anaerobic,,,,2,"5x30s/90s @1.05-1.2 w:r=0.33","3x120s/180s @1.05-1.2 w:r=0.67","",""
272,interval,14,36,95,1,"7x60s/120s @0.8-1.1 w:r=0.5","","",""
273,polarized,14,60,70,1,"1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
274,hybrid_aerobic,,,,2,"5x90s/30s @0.9-1.05 w:r=3","3x180s/120s @0.9-1.05 w:r=1.5","",""
275,flux,14,42,70,1,"1x2160s [alternating_paces] [flux:90s@0.75]","","",""
276,flux,14,42,70,1,"1x2340s [alternating_paces] [flux:75s@0.75]","","",""
277,hybrid_anaerobic,,,,2,"4x60s/120s @1.05-1.2 w:r=0.5","8x15s/45s @1.05-1.2 w:r=0.33","",""
278,endurance,14,45,70,1,"1x2520s @0.7-0.7","","",""
279,interval,14,36,95,1,"5x180s/60s @0.8-1.1 w:r=3","","",""
280,hybrid_aerobic,,,,2,"4x120s/60s @0.9-1.05 w:r=2","8x45s/15s @0.9-1.05 w:r=3","",""
281,time_trial,15,10,0,1,"1x600s @max_effort","","",""
282,hybrid_anaerobic,,,,2,"5x60s/120s @1.05-1.2 w:r=0.5","6x30s/90s @1.05-1.2 w:r=0.33","",""
283,polarized,15,60,70,1,"1x1800s [continuous_with_bursts] [burst:every_5_minutes/7s]","","",""
284,flux,15,42,70,1,"1x2160s [alternating_paces] [flux:75s@0.75]","","",""
285,hybrid_aerobic,,,,2,"5x120s/60s @0.9-1.05 w:r=2","6x90s/30s @0.9-1.05 w:r=3","",""
286,flux,15,42,70,1,"1x2340s [alternating_paces] [flux:75s@0.75]","","",""
287,hybrid_anaerobic,,,,2,"10x15s/45s @1.05-1.2 w:r=0.33","5x60s/120s @1.05-1.2 w:r=0.5","",""
288,endurance,15,50,70,1,"1x2520s @0.7-0.7","","",""
289,interval,15,36,95,1,"8x120s/60s @0.8-1.1 w:r=2","","",""
290,hybrid_aerobic,,,,2,"10x45s/15s @0.9-1.05 w:r=3","5x120s/60s @0.9-1.05 w:r=2","",""
291,hybrid_anaerobic,,,,2,"6x30s/90s @1.05-1.2 w:r=0.33","4x120s/180s @1.05-1.2 w:r=0.67","",""
292,interval,15,36,95,1,"6x60s/120s @0.8-1.1 w:r=0.5","","",""
293,polarized,15,60,70,1,"1x2880s [continuous_with_bursts] [burst:every_10_minutes/7s]","","",""
294,hybrid_aerobic,,,,2,"6x90s/30s @0.9-1.05 w:r=3","4x180s/120s @0.9-1.05 w:r=1.5","",""
295,flux,15,42,70,1,"1x2520s [alternating_paces] [flux:75s@0.75]","","",""
296,flux,15,42,70,1,"1x2700s [alternating_paces] [flux:75s@0.75]","","",""
297,hybrid_anaerobic,,,,2,"5x60s/120s @1.05-1.2 w:r=0.5","10x15s/45s @1.05-1.2 w:r=0.33","",""
298,endurance,15,50,70,1,"1x2700s @0.7-0.7","","",""
299,interval,15,36,95,1,"6x180s/60s @0.8-1.1 w:r=3","","",""
300,hybrid_aerobic,,,,2,"5x120s/60s @0.9-1.05 w:r=2","10x45s/15s @0.9-1.05 w:r=3","",""
301,time_trial,16,10,0,1,"1x600s @max_effort","","",""
302,flux_stages,16,30,70,1,"1x1440s [progressive_flux_intensity] [flux:60s@0.75]","","",""
303,polarized,16,56,70,1,"1x2340s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
304,anaerobic,16,36,0,1,"6x30s/150s @max_effort w:r=0.2","","",""
305,flux_stages,16,30,70,1,"1x1620s [progressive_flux_intensity] [flux:60s@0.75]","","",""
306,anaerobic,16,36,0,1,"8x20s/100s @max_effort w:r=0.2","","",""
307,flux_stages,16,30,70,1,"1x1800s [progressive_flux_intensity] [flux:60s@0.75]","","",""
308,endurance,16,45,70,1,"1x2700s @0.7-0.7","","",""
309,max_aerobic_power,16,36,95,1,"4x240s/240s @0.85-1.05 w:r=1","","",""
310,flux_stages,16,30,70,1,"1x1980s [progressive_flux_intensity] [flux:60s@0.75]","","",""
311,flux_stages,16,32,70,1,"1x1800s [progressive_flux_intensity] [flux:75s@0.75]","","",""
312,anaerobic,16,36,0,1,"6x30s/150s @max_effort w:r=0.2","","",""
313,polarized,16,56,70,1,"1x2700s [continuous_with_bursts] [burst:every_7_minutes/7s]","","",""
314,flux_stages,16,32,70,1,"1x1980s [progressive_flux_intensity] [flux:75s@0.75]","","",""
315,interval,16,36,95,1,"18x90s/30s @0.8-1.1 w:r=3","","",""
316,anaerobic,16,36,0,1,"4x45s/225s @max_effort w:r=0.2","","",""
317,flux_stages,16,32,70,1,"1x2160s [progressive_flux_intensity] [flux:75s@0.75]","","",""
318,endurance,16,45,70,1,"1x2700s @0.7-0.7","","",""
319,max_aerobic_power,16,36,95,1,"8x90s/90s @0.85-1.05 w:r=1","","",""
